class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.989909	0.995904	0.994929	0.978495	0.697012	0.777087	0.803600	1632	8
abuth	0.901510	0.970982	0.948204						
canger	0.741622	0.929099	0.851645						
cotton	0.599289	0.793614	0.749444						
longkui	0.825449	0.913563	0.904379						
machixian	0.411397	0.418751	0.582965						
niujincao	0.392720	0.419768	0.563961						
tianxuanhua	0.714202	0.775012	0.833276						
background	0.989995	0.995831	0.994972	0.979675	0.714975	0.790713	0.820581	1664	8
abuth	0.905547	0.972906	0.950432						
canger	0.753193	0.924259	0.859224						
cotton	0.609215	0.770583	0.757158						
longkui	0.825289	0.917495	0.904283						
machixian	0.508036	0.530829	0.673772						
niujincao	0.433205	0.475744	0.604526						
tianxuanhua	0.695317	0.738054	0.820280						
background	0.989986	0.995236	0.994968	0.979009	0.706748	0.790748	0.813465	1696	8
abuth	0.902751	0.974182	0.948891						
canger	0.742541	0.930671	0.852251						
cotton	0.601465	0.765704	0.751143						
longkui	0.818082	0.945975	0.899940						
machixian	0.470292	0.487162	0.639726						
niujincao	0.418769	0.452040	0.590328						
tianxuanhua	0.710101	0.775015	0.830478						
background	0.989889	0.995554	0.994919	0.978415	0.695393	0.779859	0.802522	1728	8
abuth	0.899142	0.971919	0.946893						
canger	0.742958	0.931159	0.852525						
cotton	0.596842	0.779321	0.747528						
longkui	0.820024	0.942495	0.901113						
machixian	0.425757	0.435566	0.597237						
niujincao	0.379553	0.399635	0.550255						
tianxuanhua	0.708977	0.783221	0.829709						
background	0.989847	0.995439	0.994898	0.977308	0.679968	0.768842	0.787898	1760	9
abuth	0.897523	0.969872	0.945994						
canger	0.726108	0.943709	0.841324						
cotton	0.578868	0.767759	0.733270						
longkui	0.815670	0.947399	0.898478						
machixian	0.341790	0.346022	0.509454						
niujincao	0.376424	0.397458	0.546959						
tianxuanhua	0.713514	0.783082	0.832808						
background	0.989488	0.996064	0.994716	0.977947	0.691102	0.773645	0.798834	1792	9
abuth	0.901573	0.959693	0.948239						
canger	0.722782	0.945298	0.839087						
cotton	0.588667	0.756827	0.741083						
longkui	0.818915	0.936888	0.900444						
machixian	0.437073	0.446810	0.608282						
niujincao	0.356972	0.376608	0.526130						
tianxuanhua	0.713341	0.770973	0.832690						
background	0.989676	0.995966	0.994811	0.978297	0.694920	0.775415	0.802494	1824	9
abuth	0.903017	0.966039	0.949037						
canger	0.731015	0.942493	0.844608						
cotton	0.589848	0.755599	0.742018						
longkui	0.815986	0.919575	0.898670						
machixian	0.445239	0.459469	0.616146						
niujincao	0.372578	0.395895	0.542888						
