Device: cuda
Dataset: cottonweed, Train set: 513, Val set: 146
Epoch 58, Itrs 3710/10000, Loss=0.053919
Epoch 59, Itrs 3720/10000, Loss=0.073902
Epoch 59, Itrs 3730/10000, Loss=0.192419
Epoch 59, Itrs 3740/10000, Loss=0.082373
Epoch 59, Itrs 3750/10000, Loss=0.038996
Epoch 59, Itrs 3760/10000, Loss=0.063844
Epoch 59, Itrs 3770/10000, Loss=0.062030
Epoch 60, Itrs 3780/10000, Loss=0.051883
Epoch 60, Itrs 3790/10000, Loss=0.119118
Epoch 60, Itrs 3800/10000, Loss=0.072236
Epoch 60, Itrs 3810/10000, Loss=0.136337
Epoch 60, Itrs 3820/10000, Loss=0.173845
Epoch 60, Itrs 3830/10000, Loss=0.088418
Epoch 60, Itrs 3840/10000, Loss=0.104556
Epoch 61, Itrs 3850/10000, Loss=0.118648
Epoch 61, Itrs 3860/10000, Loss=0.050939
Epoch 61, Itrs 3870/10000, Loss=0.140013
Epoch 61, Itrs 3880/10000, Loss=0.104590
Epoch 61, Itrs 3890/10000, Loss=0.119214
Epoch 61, Itrs 3900/10000, Loss=0.093663
Epoch 62, Itrs 3910/10000, Loss=0.095236
Epoch 62, Itrs 3920/10000, Loss=0.079631
Epoch 62, Itrs 3930/10000, Loss=0.059913
Epoch 62, Itrs 3940/10000, Loss=0.067994
Epoch 62, Itrs 3950/10000, Loss=0.056675
Epoch 62, Itrs 3960/10000, Loss=0.077848
Epoch 63, Itrs 3970/10000, Loss=0.077823
Epoch 63, Itrs 3980/10000, Loss=0.045287
Epoch 63, Itrs 3990/10000, Loss=0.065246
Epoch 63, Itrs 4000/10000, Loss=0.090833
Epoch 63, Itrs 4010/10000, Loss=0.063937
Epoch 63, Itrs 4020/10000, Loss=0.124109
Epoch 63, Itrs 4030/10000, Loss=0.040631
Epoch 64, Itrs 4040/10000, Loss=0.040337
Epoch 64, Itrs 4050/10000, Loss=0.052704
Epoch 64, Itrs 4060/10000, Loss=0.075776
Epoch 64, Itrs 4070/10000, Loss=0.041511
Epoch 64, Itrs 4080/10000, Loss=0.059021
Epoch 64, Itrs 4090/10000, Loss=0.166954
Epoch 65, Itrs 4100/10000, Loss=0.130617
Epoch 65, Itrs 4110/10000, Loss=0.071883
Epoch 65, Itrs 4120/10000, Loss=0.107153
Epoch 65, Itrs 4130/10000, Loss=0.064053
Epoch 65, Itrs 4140/10000, Loss=0.130183
Epoch 65, Itrs 4150/10000, Loss=0.063959
Epoch 65, Itrs 4160/10000, Loss=0.069348
Epoch 66, Itrs 4170/10000, Loss=0.148612
Epoch 66, Itrs 4180/10000, Loss=0.092491
Epoch 66, Itrs 4190/10000, Loss=0.071100
Epoch 66, Itrs 4200/10000, Loss=0.102437
Epoch 66, Itrs 4210/10000, Loss=0.076708
Epoch 66, Itrs 4220/10000, Loss=0.088545
Epoch 67, Itrs 4230/10000, Loss=0.056001
Epoch 67, Itrs 4240/10000, Loss=0.048284
Epoch 67, Itrs 4250/10000, Loss=0.181742
Epoch 67, Itrs 4260/10000, Loss=0.102074
Epoch 67, Itrs 4270/10000, Loss=0.064298
Epoch 67, Itrs 4280/10000, Loss=0.071953
Epoch 68, Itrs 4290/10000, Loss=0.076509
Epoch 68, Itrs 4300/10000, Loss=0.096246
Epoch 68, Itrs 4310/10000, Loss=0.090758
Epoch 68, Itrs 4320/10000, Loss=0.071387
Epoch 68, Itrs 4330/10000, Loss=0.058437
Epoch 68, Itrs 4340/10000, Loss=0.116768
Epoch 68, Itrs 4350/10000, Loss=0.065317
Epoch 69, Itrs 4360/10000, Loss=0.077373
Epoch 69, Itrs 4370/10000, Loss=0.042789
Epoch 69, Itrs 4380/10000, Loss=0.082004
Epoch 69, Itrs 4390/10000, Loss=0.042421
Epoch 69, Itrs 4400/10000, Loss=0.101831
Epoch 69, Itrs 4410/10000, Loss=0.076154
Epoch 70, Itrs 4420/10000, Loss=0.050101
Epoch 70, Itrs 4430/10000, Loss=0.072525
Epoch 70, Itrs 4440/10000, Loss=0.084063
Epoch 70, Itrs 4450/10000, Loss=0.056684
Epoch 70, Itrs 4460/10000, Loss=0.092209
Epoch 70, Itrs 4470/10000, Loss=0.074362
Epoch 70, Itrs 4480/10000, Loss=0.074800
Epoch 71, Itrs 4490/10000, Loss=0.092815
Epoch 71, Itrs 4500/10000, Loss=0.052580
Epoch 71, Itrs 4510/10000, Loss=0.314579
Epoch 71, Itrs 4520/10000, Loss=0.083641
Epoch 71, Itrs 4530/10000, Loss=0.115698
Epoch 71, Itrs 4540/10000, Loss=0.068872
Epoch 72, Itrs 4550/10000, Loss=0.060332
Epoch 72, Itrs 4560/10000, Loss=0.050412
Epoch 72, Itrs 4570/10000, Loss=0.039366
Epoch 72, Itrs 4580/10000, Loss=0.114498
Epoch 72, Itrs 4590/10000, Loss=0.031121
Epoch 72, Itrs 4600/10000, Loss=0.208918
Epoch 73, Itrs 4610/10000, Loss=0.067532
Epoch 73, Itrs 4620/10000, Loss=0.078663
Epoch 73, Itrs 4630/10000, Loss=0.054347
Epoch 73, Itrs 4640/10000, Loss=0.110312
Epoch 73, Itrs 4650/10000, Loss=0.067156
Epoch 73, Itrs 4660/10000, Loss=0.051364
Epoch 73, Itrs 4670/10000, Loss=0.126118
Epoch 74, Itrs 4680/10000, Loss=0.048009
Epoch 74, Itrs 4690/10000, Loss=0.075966
Epoch 74, Itrs 4700/10000, Loss=0.093427
Epoch 74, Itrs 4710/10000, Loss=0.066698
Epoch 74, Itrs 4720/10000, Loss=0.091325
Epoch 74, Itrs 4730/10000, Loss=0.053428
Epoch 75, Itrs 4740/10000, Loss=0.069309
Epoch 75, Itrs 4750/10000, Loss=0.111507
Epoch 75, Itrs 4760/10000, Loss=0.155717
Epoch 75, Itrs 4770/10000, Loss=0.070846
Epoch 75, Itrs 4780/10000, Loss=0.055498
Epoch 75, Itrs 4790/10000, Loss=0.144484
Epoch 75, Itrs 4800/10000, Loss=0.097913
Epoch 76, Itrs 4810/10000, Loss=0.198014
Epoch 76, Itrs 4820/10000, Loss=0.232437
Epoch 76, Itrs 4830/10000, Loss=0.062520
Epoch 76, Itrs 4840/10000, Loss=0.062300
Epoch 76, Itrs 4850/10000, Loss=0.053516
Epoch 76, Itrs 4860/10000, Loss=0.053817
Epoch 77, Itrs 4870/10000, Loss=0.094325
Epoch 77, Itrs 4880/10000, Loss=0.086749
Epoch 77, Itrs 4890/10000, Loss=0.075742
Epoch 77, Itrs 4900/10000, Loss=0.075396
