class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.991109	0.996193	0.995535	0.985803	0.781168	0.849957	0.865875	7200	31
cotton	0.961525	0.986484	0.980385						
abuth	0.835629	0.877316	0.910455						
canger	0.716972	0.944402	0.835159						
machixian	0.827405	0.899971	0.905552						
longkui	0.771748	0.873149	0.871172						
tianxuanhua	0.409864	0.420275	0.581423						
niujincao	0.735087	0.801865	0.847320						
background	0.991358	0.996846	0.995660	0.986497	0.791091	0.850429	0.870135	7400	32
cotton	0.950446	0.982380	0.974594						
abuth	0.834280	0.864080	0.909654						
canger	0.738266	0.963039	0.849428						
machixian	0.823463	0.910554	0.903186						
longkui	0.907579	0.926591	0.951551						
tianxuanhua	0.381246	0.390056	0.552032						
niujincao	0.702093	0.769889	0.824976						
background	0.991383	0.996150	0.995673	0.987758	0.820312	0.881135	0.894940	7600	32
cotton	0.961419	0.983869	0.980330						
abuth	0.844995	0.874668	0.915986						
canger	0.763221	0.971486	0.865713						
machixian	0.842832	0.912242	0.914714						
longkui	0.878337	0.939398	0.935228						
tianxuanhua	0.538918	0.563516	0.700385						
niujincao	0.741389	0.807749	0.851492						
background	0.991209	0.996945	0.995585	0.986603	0.784064	0.842610	0.857812	7800	33
cotton	0.952393	0.975657	0.975616						
abuth	0.856486	0.917744	0.922696						
canger	0.744412	0.943565	0.853482						
machixian	0.830879	0.915919	0.907629						
longkui	0.934843	0.968150	0.966325						
tianxuanhua	0.265976	0.270943	0.420191						
niujincao	0.696310	0.751953	0.820970						
background	0.991398	0.996869	0.995680	0.985809	0.782836	0.844115	0.864836	8000	34
cotton	0.949553	0.982326	0.974124						
abuth	0.837913	0.869363	0.911809						
canger	0.711128	0.961706	0.831180						
machixian	0.841678	0.919389	0.914034						
longkui	0.824715	0.847515	0.903938						
tianxuanhua	0.369115	0.379488	0.539203						
niujincao	0.737192	0.796266	0.848717						
background	0.991713	0.996281	0.995839	0.988187	0.826047	0.885070	0.897383	8200	35
cotton	0.952286	0.984194	0.975560						
abuth	0.842727	0.884232	0.914652						
canger	0.802172	0.948870	0.890228						
machixian	0.833269	0.942132	0.909052						
longkui	0.933440	0.969167	0.965574						
tianxuanhua	0.511184	0.530783	0.676535						
niujincao	0.741589	0.824904	0.851623						
background	0.991662	0.996273	0.995813	0.988146	0.817484	0.873642	0.887414	8400	36
cotton	0.962998	0.985326	0.981150						
abuth	0.875313	0.925060	0.933511						
canger	0.765679	0.963858	0.867291						
machixian	0.842596	0.936474	0.914575						
longkui	0.927933	0.942287	0.962620						
tianxuanhua	0.401345	0.416562	0.572800						
niujincao	0.772349	0.823298	0.871554						
background	0.991284	0.996725	0.995623	0.986042	0.769710	0.832292	0.853960	8600	37
cotton	0.953766	0.977997	0.976336						
abuth	0.851841	0.893786	0.919994						
canger	0.729091	0.960265	0.843323						
machixian	0.780526	0.924854	0.876736						
longkui	0.893995	0.914515	0.944031						
tianxuanhua	0.354853	0.364948	0.523825						
niujincao	0.602327	0.625248	0.751815						
background	0.991533	0.996609	0.995748	0.988173	0.811570	0.867431	0.882511	8800	37
cotton	0.964082	0.977027	0.981713						
abuth	0.877831	0.947512	0.934941						
canger	0.775004	0.951015	0.873242						
machixian	0.827140	0.931819	0.905393						
longkui	0.949438	0.972200	0.974064						
tianxuanhua	0.385299	0.397522	0.556269						
niujincao	0.722236	0.765743	0.838719						
background	0.991497	0.996733	0.995730	0.987558	0.804763	0.863009	0.881626	9000	38
cotton	0.964103	0.979055	0.981723						
abuth	0.881627	0.937291	0.937090						
canger	0.743784	0.960193	0.853069						
machixian	0.827058	0.916222	0.905344						
longkui	0.863235	0.873441	0.926598						
tianxuanhua	0.441881	0.455918	0.612923						
niujincao	0.724923	0.785218	0.840528						
background	0.991423	0.996456	0.995693	0.986291	0.786883	0.850800	0.864812	9200	39
cotton	0.957844	0.984992	0.978468						
abuth	0.859088	0.892357	0.924203						
canger	0.706328	0.971199	0.827892						
machixian	0.839409	0.921200	0.912694						
longkui	0.854630	0.868996	0.921618						
tianxuanhua	0.330867	0.337918	0.497220						
niujincao	0.755478	0.833283	0.860709						
background	0.991592	0.996065	0.995778	0.988157	0.818810	0.878249	0.888417	9400	40
cotton	0.961654	0.982855	0.980452						
abuth	0.886394	0.929406	0.939776						
canger	0.758803	0.973286	0.862863						
machixian	0.838999	0.923277	0.912452						
longkui	0.939353	0.954157	0.968728						
tianxuanhua	0.409210	0.424198	0.580765						
niujincao	0.764478	0.842745	0.866520						
background	0.991469	0.996405	0.995716	0.988583	0.828835	0.882713	0.898640	9600	41
cotton	0.962392	0.980206	0.980836						
abuth	0.888753	0.920979	0.941100						
canger	0.769495	0.969986	0.869734						
machixian	0.835757	0.917294	0.910531						
longkui	0.937627	0.951616	0.967809						
tianxuanhua	0.512404	0.534844	0.677602						
niujincao	0.732785	0.790376	0.845789						
background	0.991336	0.996834	0.995649	0.989226	0.839196	0.888375	0.905845	9800	42
cotton	0.962855	0.979468	0.981076						
abuth	0.895341	0.922978	0.944781						
canger	0.807928	0.959489	0.893761						
machixian	0.830839	0.912110	0.907605						
longkui	0.955166	0.969599	0.977069						
tianxuanhua	0.549131	0.572412	0.708954						
niujincao	0.720973	0.794106	0.837867						
background	0.991500	0.995921	0.995732	0.988517	0.811457	0.865864	0.885365	10000	43
cotton	0.964276	0.985884	0.981813						
abuth	0.906001	0.958905	0.950682						
canger	0.782953	0.957719	0.878266						
machixian	0.803343	0.929734	0.890949						
longkui	0.938877	0.953053	0.968475						
tianxuanhua	0.475888	0.494914	0.644884						
niujincao	0.628817	0.650784	0.772115						
background	0.991594	0.995883	0.995779	0.988715	0.831739	0.886606	0.899251	10200	43
cotton	0.959368	0.985878	0.979262						
abuth	0.885588	0.916247	0.939323						
canger	0.782325	0.970765	0.877870						
machixian	0.837692	0.929344	0.911679						
longkui	0.963179	0.986356	0.981244						
tianxuanhua	0.481317	0.502191	0.649850						
niujincao	0.752846	0.806180	0.858998						
background	0.991545	0.996562	0.995755	0.989394	0.838013	0.885263	0.903457	10400	44
cotton	0.964248	0.985229	0.981799						
abuth	0.901513	0.940020	0.948206						
canger	0.807582	0.958043	0.893549						
machixian	0.848976	0.917877	0.918320						
longkui	0.959164	0.976466	0.979156						
tianxuanhua	0.497987	0.513665	0.664875						
niujincao	0.733092	0.794239	0.845993						
background	0.991639	0.996412	0.995802	0.988996	0.832618	0.882701	0.899898	10600	45
cotton	0.961830	0.985725	0.980544						
abuth	0.891593	0.929961	0.942690						
canger	0.793512	0.963654	0.884869						
machixian	0.847906	0.913871	0.917694						
longkui	0.949651	0.969430	0.974176						
tianxuanhua	0.484046	0.500959	0.652333						
niujincao	0.740764	0.801594	0.851079						
background	0.991691	0.996761	0.995828	0.987839	0.815474	0.866723	0.888546	10800	46
cotton	0.957752	0.983337	0.978420						
abuth	0.875441	0.911192	0.933584						
canger	0.751207	0.967783	0.857931						
machixian	0.851132	0.907630	0.919580						
longkui	0.892496	0.908437	0.943194						
tianxuanhua	0.447824	0.464997	0.618617						
niujincao	0.756251	0.793650	0.861211						
background	0.991657	0.996905	0.995811	0.987905	0.814633	0.868164	0.886502	11000	47
cotton	0.957719	0.978997	0.978403						
abuth	0.873282	0.911060	0.932355						
canger	0.761353	0.965196	0.864510						
machixian	0.850844	0.918671	0.919412						
longkui	0.910486	0.941175	0.953146						
tianxuanhua	0.415839	0.429426	0.587410						
niujincao	0.755885	0.803880	0.860973						
background	0.991604	0.996454	0.995784	0.987610	0.806265	0.861036	0.879677	11200	48
cotton	0.958294	0.985121	0.978703						
abuth	0.840587	0.938759	0.913390						
canger	0.766747	0.902782	0.867976						
machixian	0.835498	0.923993	0.910378						
longkui	0.945340	0.967589	0.971902						
tianxuanhua	0.388725	0.398477	0.559831						
niujincao	0.723325	0.775110	0.839453						
background	0.991585	0.996647	0.995775	0.987903	0.807016	0.861278	0.877527	11400	48
cotton	0.964291	0.983209	0.981821						
abuth	0.863480	0.956052	0.926739						
canger	0.762622	0.922296	0.865327						
machixian	0.842558	0.914082	0.914553						
longkui	0.942328	0.962786	0.970308						
tianxuanhua	0.343441	0.350267	0.511286						
niujincao	0.745824	0.804882	0.854409						
background	0.991520	0.996812	0.995742	0.987334	0.795625	0.850997	0.866606	11600	49
cotton	0.958828	0.978449	0.978981						
abuth	0.866453	0.943381	0.928449						
canger	0.754687	0.945331	0.860196						
machixian	0.835075	0.915752	0.910126						
longkui	0.938260	0.961801	0.968147						
tianxuanhua	0.285449	0.291569	0.444124						
niujincao	0.734730	0.774878	0.847083						
background	0.991571	0.996821	0.995768	0.988006	0.807795	0.862474	0.877432	11800	50
cotton	0.961651	0.979459	0.980451						
abuth	0.877607	0.947011	0.934814						
canger	0.773215	0.949300	0.872105						
machixian	0.842349	0.920236	0.914429						
longkui	0.940631	0.962968	0.969407						
tianxuanhua	0.334594	0.341236	0.501417						
niujincao	0.740740	0.802760	0.851063						
background	0.991637	0.996676	0.995801	0.988316	0.815153	0.869000	0.884140	12000	51
cotton	0.961438	0.981945	0.980340						
abuth	0.878062	0.944603	0.935073						
canger	0.782382	0.945538	0.877906						
machixian	0.847166	0.923543	0.917260						
longkui	0.944990	0.968997	0.971717						
tianxuanhua	0.371580	0.379886	0.541828						
niujincao	0.743972	0.810809	0.853193						
